,0¡®s,1¡®s,2¡®s,3¡®s,4¡®s,5¡®s,6¡®s,7¡®s,8¡®s,9¡®s
0's,1984,1,3,4,11,17,20,2,21,3
1's,1,2272,11,7,4,3,7,2,33,2
2's,23,82,1708,41,43,2,81,24,76,9
3's,9,41,63,1882,6,37,14,40,45,39
4's,3,31,19,2,1790,21,17,8,26,119
5's,37,22,7,183,36,1344,69,15,134,51
6's,41,26,18,1,21,28,1918,0,15,1
7's,17,63,19,14,51,3,2,1909,3,120
8's,27,166,15,76,29,70,23,8,1567,51
9's,21,21,6,43,110,7,2,152,19,1713
