,0¡®s,1¡®s,2¡®s,3¡®s,4¡®s,5¡®s,6¡®s,7¡®s,8¡®s,9¡®s
0's,1968,3,9,6,6,14,26,0,32,2
1's,0,2255,14,14,4,8,7,2,34,4
2's,43,77,1632,68,42,3,89,48,75,11
3's,19,55,74,1815,13,35,19,39,62,44
4's,5,38,25,8,1779,16,21,7,27,110
5's,63,32,16,206,34,1270,62,23,152,39
6's,56,19,18,1,31,29,1893,1,20,0
7's,17,70,19,14,49,2,1,1870,12,146
8's,19,180,15,84,56,83,18,17,1516,43
9's,34,18,11,39,156,7,1,180,21,1627
